content_id,publish_date,category,brand,product_id,content_type,author_id,has_negative_detail,has_size_feedback,has_price_judgment,has_comparison,has_usage_scenario,positive_cliche_ratio,decision_info_score,effective_interaction_score,decision_path_entry_score,transaction_feedback_score,author_credibility_score,decision_value_score,exposure,like_rate,favorite_rate,comment_rate,effective_comment_rate,product_card_click_rate,product_detail_uv_rate,price_view_rate,review_view_rate,purchase_conversion_rate,cancel_return_rate
C00001,2026-05-18,潮鞋,Vans,SKU7100,穿搭展示,A80053,0,0,0,1,0,0.4366,36.58,37.48,42.04,39.34,45.47,39.56,24165,0.0942,0.0363,0.0283,0.015,0.0316,0.0249,0.025,0.0263,0.0101,0.1057
C00002,2026-04-26,潮鞋,Adidas,SKU8243,同质化好评,A10662,0,1,0,0,0,0.6712,30.2,30.74,36.06,41.36,36.58,34.64,11404,0.088,0.0394,0.0223,0.0113,0.018,0.019,0.0207,0.0379,0.0176,0.0906
C00003,2026-04-25,潮鞋,New Balance,SKU9257,穿搭展示,A36423,0,0,0,0,1,0.3842,41.84,37.1,22.17,34.56,46.61,34.99,20486,0.1001,0.0627,0.0219,0.0111,0.0238,0.0187,0.0224,0.018,0.0073,0.0896
C00004,2026-05-22,潮鞋,Vans,SKU5455,对比测评,A72972,0,0,0,1,0,0.107,43.92,42.12,46.01,38.05,55.35,44.05,14299,0.061,0.0543,0.0427,0.0234,0.0424,0.0293,0.0215,0.0243,0.0146,0.0793
C00005,2026-06-01,潮鞋,Asics,SKU2693,真实体验,A39687,0,1,0,0,1,0.145,52.37,31.45,49.56,57.01,55.23,48.7,4980,0.0593,0.0346,0.0438,0.0249,0.0382,0.0389,0.0321,0.0428,0.0289,0.0737
C00006,2026-05-22,潮鞋,Converse,SKU1089,同质化好评,A90653,0,0,0,0,0,0.5548,24.42,20.52,14.94,29.25,45.82,24.37,33973,0.1333,0.0361,0.0101,0.0046,0.005,0.0036,0.0111,0.0161,0.0024,0.104
C00007,2026-05-13,潮鞋,Nike,SKU3688,同质化好评,A49158,0,1,0,0,0,0.9322,27.41,24.89,19.8,33.19,35.67,26.99,35027,0.0586,0.0404,0.0108,0.0051,0.0193,0.0202,0.0119,0.0299,0.0043,0.1011
C00008,2026-05-25,潮鞋,Vans,SKU5493,疑似软广,A55066,0,0,0,0,0,0.9506,13.23,30.9,15.03,29.42,25.81,21.71,9979,0.0379,0.0425,0.0243,0.0109,0.0093,0.0061,0.0187,0.0067,0.001,0.1194
C00009,2026-06-03,潮鞋,Jordan,SKU8566,同质化好评,A19530,1,0,0,0,1,0.7142,37.76,38.57,30.47,50.87,37.39,38.68,18245,0.0653,0.0287,0.026,0.0162,0.027,0.0225,0.0206,0.04,0.0072,0.0938
C00010,2026-04-25,潮鞋,Converse,SKU9631,同质化好评,A19474,0,0,0,0,0,0.5444,18.53,37.72,16.56,24.56,22.01,23.43,16698,0.0538,0.0267,0.011,0.005,0.0169,0.0088,0.0068,0.031,0.001,0.0966
